                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4533,                 3.8941,                 1.0676,                 0.4783,                   0.52,                0.39094,                 0.1053,                  2.808,                 2.2169,                 1.3629,             0.00066077,             0.00066077,             0.00066077
                      2,                 1.2837,                0.86693,                 0.9784,                0.76049,                0.61444,                0.68965,                0.32467,                 1.8668,                 1.6206,                 1.0591,               0.001196,               0.001196,               0.001196
                      3,                 1.1879,                0.80697,                0.94605,                0.66223,                0.48778,                0.53797,                0.21645,                 2.0816,                 1.8603,                 1.0784,              0.0015993,              0.0015993,              0.0015993
                      4,                 1.1681,                0.72187,                0.93597,                0.85842,                0.78822,                0.85925,                 0.3418,                 2.0938,                 1.1462,                 1.0741,               0.001406,               0.001406,               0.001406
                      5,                 1.1193,                0.62302,                 0.9246,                0.86531,                0.85444,                 0.8594,                0.35478,                 1.9258,                 1.1405,                0.96827,               0.001208,               0.001208,               0.001208
                      6,                 1.0216,                0.57287,                0.89268,                0.93946,                0.86333,                0.94882,                0.45651,                 1.7491,                0.88105,                0.95592,                0.00101,                0.00101,                0.00101
                      7,                0.98423,                0.51381,                0.88037,                0.92522,                0.86222,                0.94488,                0.57131,                 1.4277,                0.81868,                0.89618,               0.000812,               0.000812,               0.000812
                      8,                0.91058,                0.48427,                0.85959,                0.94136,                0.87667,                0.96165,                0.47625,                 1.7683,                0.84377,                0.93386,               0.000614,               0.000614,               0.000614
                      9,                0.85694,                0.43707,                0.85688,                0.94239,                0.89778,                0.95966,                0.48516,                 1.7556,                0.86941,                0.91721,               0.000416,               0.000416,               0.000416
                     10,                0.79402,                0.40707,                0.84041,                0.97004,                0.93527,                0.98086,                0.49838,                 1.7021,                 0.7764,                0.90797,               0.000218,               0.000218,               0.000218
